ORGANIZATION_NAME,GOC_TRACK_TYPE,under6_inneed
City of Cumberland,Partnership Development,396
"One Annapolis, Inc",Partnership Development,1268
"Anne Arundel County Partnership for Children, Youth, and Families",Plan Development,737
"Community Assistance Network, Inc.",Partnership Development,998
"Caroline Human Services Council, Inc.",Partnership Development,248
"LifeStyles of Maryland Foundation, Inc.",Partnership Development,340
"Moving Dorchester Forward, INC",Plan Development,860
Local Management Board Frederick County,Plan Development,1463
Boys & Girls Clubs of Harford and Cecil Counties,Partnership Development,1741
"Identity, Inc.",Plan Development,1677
CHEER (Community Health and Empowerment through Education and Research),Plan Development,627
Prince George's County Department of Social Services,Partnership Development,535
United Communities Against Poverty,Plan Development,678
"CASA, Inc.",Partnership Development,1952
Latin American Youth Center,Plan Development,704
San Mar Family & Community Services: Bester Community of Hope,Implementation,1215
Urban Strategies Inc,Partnership Development,307
Tendea Family INC.,Partnership Development,321
The Y in Central Maryland,Plan Development,890
"The Y in Central Maryland; The Central Baltimore Partnership, Inc.",Plan Development,0
"The Central Baltimore Partnership, Inc.",Plan Development,319
Child First Authority,Plan Development,79
"Child First Authority; Elev8 Baltimore, Inc.",Plan Development,115
Greater Mondawmin Coordinating Council,Partnership Development,508
Child First Authority; We Our Us,Plan Development,424
"Elev8 Baltimore, Inc.; We Our Us",Plan Development,300
"Greater Mondawmin Coordinating Council; Park Heights Renaissance, Inc.",Partnership Development,144
"Park Heights Renaissance, Inc.",Implementation,1982
"Elev8 Baltimore, Inc.",Plan Development,0
Cherry Hill Strong,Implementation,683
South Baltimore Community Land Trust,Plan Development,411
