name,type,tag,lat,lng
Weis,grocery,supermarket,39.3992246,-77.3460515
Giant,grocery,supermarket,38.9084904,-77.4067398
Food Lion,grocery,supermarket,39.1048288,-77.5683365
Soda Pop Shop,grocery,convenience,39.408723,-76.513351
Sunoco,grocery,convenience,38.80352,-76.95177
BJ's Wholesale Club,grocery,wholesale,39.4300405,-75.0324157
Acme Markets,grocery,supermarket,39.4797572,-74.9985986
Giant,grocery,supermarket,38.9054727,-77.2581919
Assal Market,grocery,supermarket,38.9052796,-77.2617363
Save-A-Lot,grocery,supermarket,39.4274441,-75.2321772
ShopRite,grocery,supermarket,39.4571777,-75.2131564
Wawa,grocery,convenience,39.421448,-75.038543
Safeway,grocery,supermarket,39.0208174,-76.9760134
Giant,grocery,supermarket,39.0412196,-76.9889051
7-Eleven,grocery,convenience,38.988783,-77.0954033
Jumbo Foods,grocery,supermarket,38.8036303,-76.9533748
Giant,grocery,supermarket,38.991893,-77.031655
Metro Conv.,grocery,convenience,38.9924398,-77.0308178
News & Valet,grocery,convenience,38.9932003,-77.0311611
Martin's,grocery,supermarket,38.0679875,-78.929107
ALDI,grocery,supermarket,39.0099092,-77.041696
Eagle Express,grocery,convenience,38.9373316,-77.0890437
Valero,grocery,convenience,39.6213133,-75.6421016
Martin's,grocery,supermarket,38.4235446,-78.8409602
Wawa,grocery,convenience,39.6318681,-75.6604376
Graul's Market,grocery,supermarket,39.5924563,-76.6696849
7-Eleven,grocery,convenience,39.5903297,-76.6638951
Battleview Market,grocery,convenience,39.4619635,-77.7452643
Giant,grocery,supermarket,39.0260737,-77.1277445
Unnamed convenience,grocery,convenience,38.9998085,-77.1099713
Lidl,grocery,supermarket,38.7778049,-77.2649929
Giant,grocery,supermarket,38.7152903,-77.2625036
Safeway,grocery,supermarket,39.0166704,-77.2084779
Trader Joe's,grocery,supermarket,39.031441,-77.0036075
7-Eleven,grocery,convenience,39.0202825,-77.0132457
7-Eleven,grocery,convenience,39.0429678,-77.0475106
Cornucopia,grocery,convenience,38.9903333,-77.099927
Trader Joe's,grocery,supermarket,39.057125,-77.1232791
Harvey's Store,grocery,convenience,39.6887373,-77.1472528
Giant,grocery,supermarket,39.0553797,-77.1154934
Woodmont Market,grocery,convenience,38.992502,-77.096925
Olney Farmers Market,grocery,marketplace,39.1506329,-77.0585369
Royal Bagel Bakery,grocery,deli,39.1534827,-77.0686453
Roots Market,grocery,greengrocer,39.1317698,-77.0716129
a Deli,grocery,deli,38.9574462,-77.4007605
High Up Mart,grocery,convenience,39.0383728,-77.3808031
Harris Teeter,grocery,supermarket,38.9495394,-77.3949311
7-Eleven,grocery,convenience,38.9453712,-77.0778046
Giant,grocery,supermarket,38.9504085,-77.4080104
Unnamed convenience,grocery,convenience,39.1487001,-76.6389744
Lidl,grocery,supermarket,39.1524089,-76.6154856
7-Eleven,grocery,convenience,38.998863,-77.3436186
7-Eleven,grocery,convenience,38.976256,-77.3091923
Loudoun International Foods,grocery,convenience,39.0035147,-77.4315211
7-Eleven,grocery,convenience,38.9078537,-77.2566039
Great Harvest Bread Company,grocery,bakery,38.9012005,-77.2673086
Whole Foods Market,grocery,supermarket,38.7799069,-77.1898181
Trader Joe's,grocery,supermarket,38.7815834,-77.1892307
Harris Teeter,grocery,supermarket,38.8128362,-77.112618
Harris Teeter,grocery,supermarket,39.0085098,-77.5032851
7-Eleven,grocery,convenience,39.1369629,-77.7237785
Giant,grocery,supermarket,39.1355946,-77.7001658
Safeway,grocery,supermarket,38.8450915,-77.2740449
Harris Teeter,grocery,supermarket,38.9660192,-77.3548558
Harris Teeter,grocery,supermarket,39.0495732,-77.1091078
7-Eleven,grocery,convenience,39.0463414,-77.1129996
The Fresh Market,grocery,supermarket,39.0618795,-77.1271436
Safeway,grocery,supermarket,38.545656,-76.5902391
Weis,grocery,supermarket,38.5530153,-76.5971007
Prime Mart,grocery,convenience,39.0051908,-77.4266438
Bestway,grocery,supermarket,38.9705634,-77.3829799
7-Eleven,grocery,convenience,38.8887717,-77.2428283
7-Eleven,grocery,convenience,38.8837515,-77.1029597
Geresbeck's Food Market,grocery,supermarket,39.3277067,-76.4407055
7-Eleven,grocery,convenience,39.3370432,-76.3982146
Giant,grocery,supermarket,38.8115057,-76.7375793
Weis,grocery,supermarket,38.8108817,-76.7420708
